time	species	protein	transcript	ribo_density
92.001425	__proteinP_rbs	0.000000	0.000000	0.000000
92.001425	__ribosome	90.000000	0.000000	0.000000
92.001425	proteinP	54.000000	1.000000	10.000000
93.007797	__proteinP_rbs	0.000000	0.000000	0.000000
93.007797	__ribosome	89.000000	0.000000	0.000000
93.007797	proteinP	54.000000	1.000000	11.000000
94.003241	__proteinP_rbs	0.000000	0.000000	0.000000
94.003241	__ribosome	88.000000	0.000000	0.000000
94.003241	proteinP	54.000000	1.000000	12.000000
95.000414	__proteinP_rbs	0.000000	0.000000	0.000000
95.000414	__ribosome	87.000000	0.000000	0.000000
95.000414	proteinP	54.000000	1.000000	13.000000
96.002554	__proteinP_rbs	1.000000	0.000000	0.000000
96.002554	__ribosome	88.000000	0.000000	0.000000
96.002554	proteinP	55.000000	1.000000	12.000000
96.999300	__proteinP_rbs	1.000000	0.000000	0.000000
96.999300	__ribosome	90.000000	0.000000	0.000000
96.999300	proteinP	57.000000	1.000000	10.000000
98.000556	__proteinP_rbs	0.000000	0.000000	0.000000
98.000556	__ribosome	89.000000	0.000000	0.000000
98.000556	proteinP	57.000000	1.000000	11.000000
99.006017	__proteinP_rbs	1.000000	0.000000	0.000000
99.006017	__ribosome	89.000000	0.000000	0.000000
99.006017	proteinP	58.000000	1.000000	11.000000
