Generation,RBS,ORF,Terminator 
793,5,33,27
794,5,33,27
795,5,33,27
796,5,33,27
797,5,32,27
798,5,33,27
799,5,34,27
800,5,34,28
801,4,34,28
802,4,35,28
803,4,36,28
804,4,36,28
805,4,36,27
806,4,36,27
807,4,36,27
808,4,36,27
809,4,36,27
810,4,36,26
811,4,36,25
812,4,35,25
813,4,35,24
814,4,34,24
815,4,34,23
816,3,34,23
817,3,34,23
818,3,34,24
819,3,34,24
820,3,34,25
821,3,34,24
822,3,34,23
823,3,35,23
824,3,35,23
825,3,34,23
826,3,34,23
827,3,34,24
828,3,34,24
829,3,34,24
830,3,34,24
831,3,34,25
832,3,34,25
833,3,34,24
834,3,34,24
835,3,33,24
836,3,33,24
837,3,33,23
838,3,33,22
839,3,34,22
840,3,34,22
841,3,34,22
842,3,34,22
843,3,34,22
844,3,34,22
845,3,34,22
846,3,34,22
847,3,34,22
848,3,34,22
849,4,34,22
850,4,34,22
851,4,34,22
852,4,33,22
853,4,33,23
854,4,33,24
855,4,33,24
856,4,33,23
857,4,32,23
858,4,32,23
859,4,32,23
860,4,32,23
861,4,32,23
862,4,32,24
863,4,32,24
864,4,32,24
865,4,32,23
866,4,32,23
867,4,33,23
868,4,33,24
869,4,33,23
870,4,33,23
871,4,33,23
872,4,33,23
873,4,33,23
874,4,33,23
875,4,32,23
876,4,32,24
877,4,32,24
878,4,32,24
879,4,32,24
880,4,32,24
881,4,32,23
882,4,32,23
883,4,32,23
884,4,31,23
885,4,32,23
886,4,32,23
887,4,32,24
888,4,32,23
889,4,32,23
890,4,32,23
891,4,33,23
892,4,32,23
893,4,31,23
894,4,31,24
895,4,31,24
896,4,31,24
897,4,32,24
898,4,32,24
899,4,32,24
900,4,32,24
901,4,32,24
902,4,32,24
903,4,32,24
904,4,33,24
905,4,33,25
906,4,33,25
907,4,33,26
908,4,33,26
909,4,34,26
910,4,35,26
911,4,35,26
912,4,35,27
913,4,35,26
914,4,34,26
915,4,34,26
916,4,34,26
917,4,34,26
918,4,34,25
919,4,34,25
920,4,34,25
921,4,34,25
922,4,33,25
923,4,34,25
924,4,34,25
925,4,34,25
926,4,34,25
927,4,34,25
928,4,34,25
929,4,34,25
930,4,34,24
931,4,35,24
932,4,35,24
933,4,34,24
934,4,34,24
935,4,35,24
936,4,34,24
937,5,34,24
938,5,34,24
939,5,34,23
940,5,33,23
941,5,33,23
942,5,34,23
943,5,34,23
944,5,34,24
945,5,34,24
946,5,35,24
947,5,35,24
948,5,35,24
949,5,35,24
950,5,35,23
951,5,34,23
952,5,34,23
953,5,33,23
954,5,33,24
955,5,33,24
956,5,33,25
957,5,33,25
958,5,33,25
959,5,33,25
960,5,33,24
961,5,32,24
962,5,32,24
963,5,31,24
964,5,32,24
965,5,32,24
966,5,32,24
967,5,32,24
968,5,32,24
969,5,32,24
970,5,32,24
971,5,32,24
972,5,32,24
973,5,32,24
974,5,32,24
975,5,32,24
976,5,31,24
977,6,31,24
978,6,31,24
979,6,31,24
980,6,31,24
981,6,31,24
982,6,31,24
983,6,31,24
984,6,31,24
985,6,31,24
986,6,31,24
987,6,31,24
988,6,31,24
989,6,31,24
990,6,31,24
991,6,31,24
992,6,31,24
993,6,30,24
994,6,31,24
995,6,31,24
996,6,32,24
997,6,32,24
998,6,32,23
999,6,32,23
1000,6,32,23
